E [keV],epsilon (3 mm),epsilon (30 mm),epsilon (80 mm),epsilon (120 mm),epsilon (250 mm)
75,7.74456E+01,2.52142E+01,7.69054E+00,3.95163E+00,1.07853E+00
76,8.02156E+01,2.59734E+01,7.90211E+00,4.06118E+00,1.10658E+00
77,8.29387E+01,2.67140E+01,8.10863E+00,4.16813E+00,1.13399E+00
78,8.56109E+01,2.74352E+01,8.30996E+00,4.27239E+00,1.16074E+00
79,8.82287E+01,2.81364E+01,8.50595E+00,4.37391E+00,1.18682E+00
80,9.07889E+01,2.88171E+01,8.69650E+00,4.47262E+00,1.21220E+00
81,9.32886E+01,2.94768E+01,8.88152E+00,4.56848E+00,1.23688E+00
82,9.57256E+01,3.01152E+01,9.06094E+00,4.66145E+00,1.26085E+00
83,9.80976E+01,3.07321E+01,9.23472E+00,4.75151E+00,1.28411E+00
84,1.00403E+02,3.13273E+01,9.40282E+00,4.83865E+00,1.30666E+00
85,1.02640E+02,3.19007E+01,9.56524E+00,4.92286E+00,1.32849E+00
86,1.04808E+02,3.24522E+01,9.72197E+00,5.00413E+00,1.34960E+00
87,1.06906E+02,3.29820E+01,9.87304E+00,5.08249E+00,1.36999E+00
88,1.08933E+02,3.34901E+01,1.00185E+01,5.15794E+00,1.38967E+00
89,1.10889E+02,3.39766E+01,1.01583E+01,5.23050E+00,1.40865E+00
90,1.12774E+02,3.44419E+01,1.02925E+01,5.30020E+00,1.42692E+00
91,1.14587E+02,3.48860E+01,1.04213E+01,5.36708E+00,1.44450E+00
92,1.16329E+02,3.53093E+01,1.05447E+01,5.43116E+00,1.46139E+00
93,1.18000E+02,3.57121E+01,1.06627E+01,5.49249E+00,1.47761E+00
94,1.19601E+02,3.60947E+01,1.07754E+01,5.55112E+00,1.49315E+00
95,1.21133E+02,3.64576E+01,1.08830E+01,5.60707E+00,1.50804E+00
96,1.22596E+02,3.68011E+01,1.09855E+01,5.66041E+00,1.52228E+00
97,1.23990E+02,3.71255E+01,1.10829E+01,5.71119E+00,1.53588E+00
98,1.25318E+02,3.74314E+01,1.11755E+01,5.75945E+00,1.54886E+00
99,1.26580E+02,3.77192E+01,1.12633E+01,5.80525E+00,1.56123E+00
100,1.27778E+02,3.79893E+01,1.13465E+01,5.84865E+00,1.57300E+00
101,1.28912E+02,3.82421E+01,1.14250E+01,5.88969E+00,1.58418E+00
102,1.29984E+02,3.84782E+01,1.14991E+01,5.92845E+00,1.59479E+00
103,1.30995E+02,3.86980E+01,1.15689E+01,5.96497E+00,1.60484E+00
104,1.31946E+02,3.89019E+01,1.16344E+01,5.99931E+00,1.61433E+00
105,1.32840E+02,3.90905E+01,1.16958E+01,6.03154E+00,1.62330E+00
106,1.33677E+02,3.92642E+01,1.17532E+01,6.06170E+00,1.63174E+00
107,1.34459E+02,3.94235E+01,1.18066E+01,6.08987E+00,1.63968E+00
108,1.35187E+02,3.95688E+01,1.18563E+01,6.11608E+00,1.64712E+00
109,1.35863E+02,3.97005E+01,1.19023E+01,6.14041E+00,1.65408E+00
110,1.36488E+02,3.98193E+01,1.19448E+01,6.16290E+00,1.66058E+00
111,1.37064E+02,3.99254E+01,1.19837E+01,6.18362E+00,1.66662E+00
112,1.37593E+02,4.00194E+01,1.20193E+01,6.20262E+00,1.67221E+00
113,1.38074E+02,4.01016E+01,1.20517E+01,6.21995E+00,1.67738E+00
114,1.38512E+02,4.01725E+01,1.20809E+01,6.23566E+00,1.68213E+00
115,1.38905E+02,4.02326E+01,1.21071E+01,6.24982E+00,1.68648E+00
116,1.39257E+02,4.02821E+01,1.21304E+01,6.26247E+00,1.69044E+00
117,1.39568E+02,4.03216E+01,1.21508E+01,6.27365E+00,1.69402E+00
118,1.39840E+02,4.03514E+01,1.21684E+01,6.28344E+00,1.69723E+00
119,1.40074E+02,4.03718E+01,1.21834E+01,6.29186E+00,1.70008E+00
120,1.40272E+02,4.03834E+01,1.21959E+01,6.29897E+00,1.70259E+00
