E [keV],epsilon (3 mm),epsilon (30 mm),epsilon (80 mm),epsilon (120 mm),epsilon (250 mm)
774,2.87793E+01,8.28183E+00,2.76907E+00,1.48556E+00,4.10165E-01
775,2.87448E+01,8.27180E+00,2.76584E+00,1.48381E+00,4.09700E-01
776,2.87103E+01,8.26180E+00,2.76262E+00,1.48207E+00,4.09236E-01
777,2.86760E+01,8.25182E+00,2.75940E+00,1.48033E+00,4.08774E-01
778,2.86417E+01,8.24186E+00,2.75619E+00,1.47859E+00,4.08312E-01
779,2.86075E+01,8.23193E+00,2.75299E+00,1.47686E+00,4.07852E-01
780,2.85734E+01,8.22203E+00,2.74980E+00,1.47513E+00,4.07393E-01
781,2.85394E+01,8.21215E+00,2.74662E+00,1.47341E+00,4.06935E-01
782,2.85055E+01,8.20230E+00,2.74345E+00,1.47169E+00,4.06479E-01
783,2.84716E+01,8.19247E+00,2.74028E+00,1.46997E+00,4.06023E-01
784,2.84378E+01,8.18267E+00,2.73712E+00,1.46826E+00,4.05569E-01
785,2.84042E+01,8.17289E+00,2.73397E+00,1.46655E+00,4.05116E-01
786,2.83706E+01,8.16313E+00,2.73082E+00,1.46485E+00,4.04664E-01
787,2.83371E+01,8.15341E+00,2.72769E+00,1.46315E+00,4.04213E-01
788,2.83036E+01,8.14370E+00,2.72456E+00,1.46145E+00,4.03763E-01
789,2.82703E+01,8.13402E+00,2.72144E+00,1.45976E+00,4.03314E-01
790,2.82370E+01,8.12437E+00,2.71832E+00,1.45808E+00,4.02867E-01
791,2.82038E+01,8.11474E+00,2.71522E+00,1.45639E+00,4.02421E-01
792,2.81707E+01,8.10513E+00,2.71212E+00,1.45472E+00,4.01976E-01
793,2.81377E+01,8.09555E+00,2.70903E+00,1.45304E+00,4.01532E-01
794,2.81047E+01,8.08599E+00,2.70595E+00,1.45137E+00,4.01089E-01
795,2.80719E+01,8.07645E+00,2.70287E+00,1.44970E+00,4.00647E-01
796,2.80391E+01,8.06694E+00,2.69981E+00,1.44804E+00,4.00206E-01
797,2.80064E+01,8.05746E+00,2.69675E+00,1.44638E+00,3.99766E-01
798,2.79738E+01,8.04799E+00,2.69369E+00,1.44473E+00,3.99328E-01
799,2.79412E+01,8.03855E+00,2.69065E+00,1.44308E+00,3.98891E-01
800,2.79088E+01,8.02914E+00,2.68761E+00,1.44143E+00,3.98454E-01
801,2.78764E+01,8.01974E+00,2.68458E+00,1.43979E+00,3.98019E-01
802,2.78441E+01,8.01038E+00,2.68156E+00,1.43815E+00,3.97585E-01
803,2.78118E+01,8.00103E+00,2.67854E+00,1.43652E+00,3.97152E-01
804,2.77797E+01,7.99171E+00,2.67553E+00,1.43488E+00,3.96720E-01
805,2.77476E+01,7.98241E+00,2.67253E+00,1.43326E+00,3.96289E-01
806,2.77156E+01,7.97313E+00,2.66954E+00,1.43163E+00,3.95859E-01
807,2.76837E+01,7.96387E+00,2.66655E+00,1.43002E+00,3.95430E-01
808,2.76519E+01,7.95464E+00,2.66357E+00,1.42840E+00,3.95002E-01
809,2.76201E+01,7.94543E+00,2.66060E+00,1.42679E+00,3.94576E-01
810,2.75884E+01,7.93625E+00,2.65763E+00,1.42518E+00,3.94150E-01
811,2.75568E+01,7.92708E+00,2.65467E+00,1.42358E+00,3.93725E-01
812,2.75252E+01,7.91794E+00,2.65172E+00,1.42198E+00,3.93302E-01
813,2.74938E+01,7.90883E+00,2.64877E+00,1.42038E+00,3.92879E-01
814,2.74624E+01,7.89973E+00,2.64584E+00,1.41879E+00,3.92458E-01
815,2.74310E+01,7.89065E+00,2.64291E+00,1.41720E+00,3.92037E-01
816,2.73998E+01,7.88160E+00,2.63998E+00,1.41561E+00,3.91618E-01
817,2.73686E+01,7.87257E+00,2.63706E+00,1.41403E+00,3.91199E-01
818,2.73375E+01,7.86356E+00,2.63415E+00,1.41245E+00,3.90782E-01
819,2.73065E+01,7.85458E+00,2.63125E+00,1.41088E+00,3.90366E-01
820,2.72756E+01,7.84561E+00,2.62835E+00,1.40931E+00,3.89950E-01
821,2.72447E+01,7.83667E+00,2.62546E+00,1.40774E+00,3.89536E-01
822,2.72139E+01,7.82775E+00,2.62258E+00,1.40618E+00,3.89122E-01
823,2.71831E+01,7.81885E+00,2.61971E+00,1.40462E+00,3.88710E-01
824,2.71525E+01,7.80997E+00,2.61684E+00,1.40306E+00,3.88299E-01
825,2.71219E+01,7.80112E+00,2.61397E+00,1.40151E+00,3.87888E-01
826,2.70914E+01,7.79228E+00,2.61112E+00,1.39996E+00,3.87479E-01
827,2.70609E+01,7.78347E+00,2.60827E+00,1.39841E+00,3.87070E-01
828,2.70306E+01,7.77467E+00,2.60542E+00,1.39687E+00,3.86663E-01
829,2.70003E+01,7.76590E+00,2.60259E+00,1.39533E+00,3.86256E-01
830,2.69700E+01,7.75715E+00,2.59976E+00,1.39380E+00,3.85851E-01
831,2.69399E+01,7.74842E+00,2.59694E+00,1.39227E+00,3.85446E-01
832,2.69098E+01,7.73971E+00,2.59412E+00,1.39074E+00,3.85042E-01
833,2.68797E+01,7.73102E+00,2.59131E+00,1.38921E+00,3.84640E-01
834,2.68498E+01,7.72235E+00,2.58850E+00,1.38769E+00,3.84238E-01
835,2.68199E+01,7.71371E+00,2.58571E+00,1.38618E+00,3.83837E-01
836,2.67901E+01,7.70508E+00,2.58292E+00,1.38466E+00,3.83437E-01
837,2.67603E+01,7.69648E+00,2.58013E+00,1.38315E+00,3.83038E-01
838,2.67306E+01,7.68789E+00,2.57735E+00,1.38164E+00,3.82640E-01
839,2.67010E+01,7.67932E+00,2.57458E+00,1.38014E+00,3.82243E-01
840,2.66715E+01,7.67078E+00,2.57182E+00,1.37864E+00,3.81847E-01
841,2.66420E+01,7.66225E+00,2.56906E+00,1.37714E+00,3.81452E-01
842,2.66126E+01,7.65375E+00,2.56630E+00,1.37565E+00,3.81058E-01
843,2.65832E+01,7.64527E+00,2.56356E+00,1.37416E+00,3.80665E-01
844,2.65540E+01,7.63680E+00,2.56082E+00,1.37267E+00,3.80272E-01
845,2.65248E+01,7.62836E+00,2.55808E+00,1.37119E+00,3.79881E-01
846,2.64956E+01,7.61993E+00,2.55535E+00,1.36971E+00,3.79490E-01
847,2.64665E+01,7.61153E+00,2.55263E+00,1.36823E+00,3.79100E-01
848,2.64375E+01,7.60314E+00,2.54992E+00,1.36676E+00,3.78712E-01
849,2.64086E+01,7.59477E+00,2.54721E+00,1.36529E+00,3.78324E-01
850,2.63797E+01,7.58643E+00,2.54450E+00,1.36382E+00,3.77937E-01
851,2.63509E+01,7.57810E+00,2.54180E+00,1.36236E+00,3.77551E-01
852,2.63221E+01,7.56979E+00,2.53911E+00,1.36090E+00,3.77165E-01
853,2.62934E+01,7.56151E+00,2.53643E+00,1.35944E+00,3.76781E-01
854,2.62648E+01,7.55324E+00,2.53375E+00,1.35799E+00,3.76398E-01
855,2.62363E+01,7.54499E+00,2.53107E+00,1.35654E+00,3.76015E-01
856,2.62078E+01,7.53676E+00,2.52841E+00,1.35509E+00,3.75633E-01
857,2.61793E+01,7.52854E+00,2.52574E+00,1.35364E+00,3.75253E-01
858,2.61510E+01,7.52035E+00,2.52309E+00,1.35220E+00,3.74873E-01
859,2.61227E+01,7.51218E+00,2.52044E+00,1.35077E+00,3.74493E-01
860,2.60944E+01,7.50402E+00,2.51779E+00,1.34933E+00,3.74115E-01
861,2.60662E+01,7.49589E+00,2.51516E+00,1.34790E+00,3.73738E-01
862,2.60381E+01,7.48777E+00,2.51252E+00,1.34647E+00,3.73361E-01
863,2.60101E+01,7.47967E+00,2.50990E+00,1.34505E+00,3.72986E-01
864,2.59821E+01,7.47159E+00,2.50728E+00,1.34362E+00,3.72611E-01
865,2.59542E+01,7.46353E+00,2.50466E+00,1.34220E+00,3.72237E-01
866,2.59263E+01,7.45549E+00,2.50205E+00,1.34079E+00,3.71864E-01
867,2.58985E+01,7.44746E+00,2.49945E+00,1.33937E+00,3.71492E-01
868,2.58707E+01,7.43946E+00,2.49685E+00,1.33797E+00,3.71120E-01
869,2.58431E+01,7.43147E+00,2.49426E+00,1.33656E+00,3.70749E-01
870,2.58154E+01,7.42350E+00,2.49167E+00,1.33515E+00,3.70380E-01
871,2.57879E+01,7.41555E+00,2.48909E+00,1.33375E+00,3.70011E-01
872,2.57604E+01,7.40762E+00,2.48651E+00,1.33236E+00,3.69643E-01
873,2.57329E+01,7.39970E+00,2.48394E+00,1.33096E+00,3.69275E-01
874,2.57056E+01,7.39180E+00,2.48138E+00,1.32957E+00,3.68909E-01
875,2.56782E+01,7.38392E+00,2.47882E+00,1.32818E+00,3.68543E-01
876,2.56510E+01,7.37606E+00,2.47627E+00,1.32680E+00,3.68178E-01
877,2.56238E+01,7.36822E+00,2.47372E+00,1.32541E+00,3.67814E-01
878,2.55966E+01,7.36039E+00,2.47118E+00,1.32403E+00,3.67451E-01
879,2.55696E+01,7.35258E+00,2.46864E+00,1.32266E+00,3.67088E-01
880,2.55425E+01,7.34479E+00,2.46611E+00,1.32128E+00,3.66727E-01
881,2.55156E+01,7.33702E+00,2.46358E+00,1.31991E+00,3.66366E-01
882,2.54887E+01,7.32926E+00,2.46106E+00,1.31854E+00,3.66006E-01
883,2.54618E+01,7.32153E+00,2.45855E+00,1.31718E+00,3.65647E-01
884,2.54350E+01,7.31381E+00,2.45604E+00,1.31582E+00,3.65288E-01
885,2.54083E+01,7.30610E+00,2.45353E+00,1.31446E+00,3.64930E-01
886,2.53816E+01,7.29842E+00,2.45103E+00,1.31310E+00,3.64574E-01
887,2.53550E+01,7.29075E+00,2.44854E+00,1.31175E+00,3.64217E-01
888,2.53284E+01,7.28309E+00,2.44605E+00,1.31040E+00,3.63862E-01
889,2.53019E+01,7.27546E+00,2.44357E+00,1.30905E+00,3.63507E-01
890,2.52755E+01,7.26784E+00,2.44109E+00,1.30771E+00,3.63154E-01
891,2.52491E+01,7.26024E+00,2.43862E+00,1.30636E+00,3.62801E-01
892,2.52228E+01,7.25266E+00,2.43615E+00,1.30503E+00,3.62448E-01
893,2.51965E+01,7.24509E+00,2.43369E+00,1.30369E+00,3.62097E-01
894,2.51703E+01,7.23754E+00,2.43123E+00,1.30236E+00,3.61746E-01
895,2.51441E+01,7.23000E+00,2.42878E+00,1.30103E+00,3.61396E-01
896,2.51180E+01,7.22249E+00,2.42633E+00,1.29970E+00,3.61047E-01
897,2.50920E+01,7.21499E+00,2.42389E+00,1.29837E+00,3.60698E-01
898,2.50660E+01,7.20750E+00,2.42146E+00,1.29705E+00,3.60350E-01
899,2.50400E+01,7.20004E+00,2.41902E+00,1.29573E+00,3.60003E-01
900,2.50141E+01,7.19259E+00,2.41660E+00,1.29441E+00,3.59657E-01
901,2.49883E+01,7.18515E+00,2.41418E+00,1.29310E+00,3.59312E-01
902,2.49625E+01,7.17773E+00,2.41176E+00,1.29179E+00,3.58967E-01
903,2.49368E+01,7.17033E+00,2.40935E+00,1.29048E+00,3.58623E-01
904,2.49111E+01,7.16295E+00,2.40694E+00,1.28918E+00,3.58280E-01
905,2.48855E+01,7.15558E+00,2.40454E+00,1.28787E+00,3.57937E-01
906,2.48600E+01,7.14822E+00,2.40215E+00,1.28657E+00,3.57595E-01
907,2.48345E+01,7.14089E+00,2.39976E+00,1.28527E+00,3.57254E-01
908,2.48090E+01,7.13356E+00,2.39737E+00,1.28398E+00,3.56914E-01
909,2.47836E+01,7.12626E+00,2.39499E+00,1.28269E+00,3.56574E-01
910,2.47583E+01,7.11897E+00,2.39261E+00,1.28140E+00,3.56235E-01
911,2.47330E+01,7.11170E+00,2.39024E+00,1.28011E+00,3.55897E-01
912,2.47077E+01,7.10444E+00,2.38787E+00,1.27883E+00,3.55559E-01
913,2.46825E+01,7.09720E+00,2.38551E+00,1.27755E+00,3.55222E-01
914,2.46574E+01,7.08997E+00,2.38316E+00,1.27627E+00,3.54886E-01
915,2.46323E+01,7.08276E+00,2.38080E+00,1.27499E+00,3.54551E-01
916,2.46073E+01,7.07557E+00,2.37846E+00,1.27372E+00,3.54216E-01
917,2.45823E+01,7.06839E+00,2.37611E+00,1.27245E+00,3.53882E-01
918,2.45574E+01,7.06122E+00,2.37378E+00,1.27118E+00,3.53549E-01
919,2.45325E+01,7.05407E+00,2.37144E+00,1.26991E+00,3.53216E-01
920,2.45077E+01,7.04694E+00,2.36911E+00,1.26865E+00,3.52884E-01
921,2.44829E+01,7.03982E+00,2.36679E+00,1.26739E+00,3.52553E-01
922,2.44582E+01,7.03272E+00,2.36447E+00,1.26613E+00,3.52222E-01
923,2.44335E+01,7.02563E+00,2.36216E+00,1.26487E+00,3.51892E-01
924,2.44089E+01,7.01856E+00,2.35985E+00,1.26362E+00,3.51563E-01
925,2.43843E+01,7.01151E+00,2.35754E+00,1.26237E+00,3.51235E-01
926,2.43598E+01,7.00446E+00,2.35524E+00,1.26112E+00,3.50907E-01
927,2.43354E+01,6.99744E+00,2.35295E+00,1.25988E+00,3.50580E-01
928,2.43109E+01,6.99043E+00,2.35066E+00,1.25863E+00,3.50253E-01
929,2.42866E+01,6.98343E+00,2.34837E+00,1.25739E+00,3.49927E-01
930,2.42623E+01,6.97645E+00,2.34609E+00,1.25616E+00,3.49602E-01
931,2.42380E+01,6.96948E+00,2.34381E+00,1.25492E+00,3.49278E-01
932,2.42138E+01,6.96253E+00,2.34154E+00,1.25369E+00,3.48954E-01
933,2.41896E+01,6.95559E+00,2.33927E+00,1.25246E+00,3.48631E-01
934,2.41655E+01,6.94867E+00,2.33701E+00,1.25123E+00,3.48308E-01
935,2.41414E+01,6.94176E+00,2.33475E+00,1.25000E+00,3.47986E-01
936,2.41174E+01,6.93487E+00,2.33250E+00,1.24878E+00,3.47665E-01
937,2.40934E+01,6.92799E+00,2.33025E+00,1.24756E+00,3.47345E-01
938,2.40695E+01,6.92113E+00,2.32800E+00,1.24634E+00,3.47025E-01
939,2.40456E+01,6.91428E+00,2.32576E+00,1.24513E+00,3.46706E-01
940,2.40218E+01,6.90744E+00,2.32352E+00,1.24391E+00,3.46387E-01
941,2.39980E+01,6.90062E+00,2.32129E+00,1.24270E+00,3.46069E-01
942,2.39743E+01,6.89382E+00,2.31906E+00,1.24149E+00,3.45752E-01
943,2.39506E+01,6.88702E+00,2.31684E+00,1.24029E+00,3.45435E-01
944,2.39270E+01,6.88025E+00,2.31462E+00,1.23908E+00,3.45119E-01
945,2.39034E+01,6.87348E+00,2.31241E+00,1.23788E+00,3.44804E-01
946,2.38799E+01,6.86673E+00,2.31020E+00,1.23668E+00,3.44489E-01
947,2.38564E+01,6.86000E+00,2.30799E+00,1.23549E+00,3.44175E-01
948,2.38329E+01,6.85328E+00,2.30579E+00,1.23429E+00,3.43861E-01
949,2.38095E+01,6.84657E+00,2.30359E+00,1.23310E+00,3.43548E-01
950,2.37862E+01,6.83988E+00,2.30140E+00,1.23191E+00,3.43236E-01
951,2.37629E+01,6.83320E+00,2.29921E+00,1.23072E+00,3.42925E-01
952,2.37396E+01,6.82653E+00,2.29703E+00,1.22954E+00,3.42614E-01
953,2.37164E+01,6.81988E+00,2.29485E+00,1.22836E+00,3.42303E-01
954,2.36933E+01,6.81324E+00,2.29267E+00,1.22718E+00,3.41993E-01
955,2.36701E+01,6.80662E+00,2.29050E+00,1.22600E+00,3.41684E-01
956,2.36471E+01,6.80001E+00,2.28833E+00,1.22482E+00,3.41376E-01
957,2.36241E+01,6.79341E+00,2.28617E+00,1.22365E+00,3.41068E-01
958,2.36011E+01,6.78683E+00,2.28401E+00,1.22248E+00,3.40760E-01
959,2.35781E+01,6.78026E+00,2.28185E+00,1.22131E+00,3.40454E-01
960,2.35553E+01,6.77371E+00,2.27970E+00,1.22015E+00,3.40148E-01
961,2.35324E+01,6.76717E+00,2.27756E+00,1.21898E+00,3.39842E-01
962,2.35096E+01,6.76064E+00,2.27541E+00,1.21782E+00,3.39537E-01
963,2.34869E+01,6.75412E+00,2.27328E+00,1.21666E+00,3.39233E-01
964,2.34642E+01,6.74762E+00,2.27114E+00,1.21550E+00,3.38929E-01
965,2.34415E+01,6.74113E+00,2.26901E+00,1.21435E+00,3.38626E-01
966,2.34189E+01,6.73466E+00,2.26689E+00,1.21320E+00,3.38323E-01
967,2.33963E+01,6.72820E+00,2.26476E+00,1.21204E+00,3.38021E-01
968,2.33738E+01,6.72175E+00,2.26265E+00,1.21090E+00,3.37720E-01
969,2.33513E+01,6.71531E+00,2.26053E+00,1.20975E+00,3.37419E-01
970,2.33289E+01,6.70889E+00,2.25842E+00,1.20861E+00,3.37119E-01
971,2.33065E+01,6.70248E+00,2.25632E+00,1.20746E+00,3.36820E-01
972,2.32841E+01,6.69609E+00,2.25422E+00,1.20633E+00,3.36520E-01
973,2.32618E+01,6.68970E+00,2.25212E+00,1.20519E+00,3.36222E-01
974,2.32395E+01,6.68333E+00,2.25002E+00,1.20405E+00,3.35924E-01
975,2.32173E+01,6.67698E+00,2.24793E+00,1.20292E+00,3.35627E-01
976,2.31951E+01,6.67063E+00,2.24585E+00,1.20179E+00,3.35330E-01
977,2.31730E+01,6.66430E+00,2.24377E+00,1.20066E+00,3.35034E-01
978,2.31509E+01,6.65798E+00,2.24169E+00,1.19953E+00,3.34738E-01
979,2.31289E+01,6.65168E+00,2.23961E+00,1.19841E+00,3.34443E-01
980,2.31069E+01,6.64539E+00,2.23754E+00,1.19729E+00,3.34149E-01
981,2.30849E+01,6.63911E+00,2.23548E+00,1.19617E+00,3.33855E-01
982,2.30630E+01,6.63284E+00,2.23341E+00,1.19505E+00,3.33562E-01
983,2.30411E+01,6.62658E+00,2.23136E+00,1.19393E+00,3.33269E-01
984,2.30193E+01,6.62034E+00,2.22930E+00,1.19282E+00,3.32977E-01
985,2.29975E+01,6.61411E+00,2.22725E+00,1.19171E+00,3.32685E-01
986,2.29757E+01,6.60790E+00,2.22520E+00,1.19060E+00,3.32394E-01
987,2.29540E+01,6.60169E+00,2.22316E+00,1.18949E+00,3.32103E-01
988,2.29324E+01,6.59550E+00,2.22112E+00,1.18839E+00,3.31813E-01
989,2.29107E+01,6.58932E+00,2.21909E+00,1.18728E+00,3.31524E-01
990,2.28892E+01,6.58315E+00,2.21705E+00,1.18618E+00,3.31235E-01
991,2.28676E+01,6.57700E+00,2.21503E+00,1.18508E+00,3.30946E-01
992,2.28461E+01,6.57086E+00,2.21300E+00,1.18399E+00,3.30659E-01
993,2.28247E+01,6.56472E+00,2.21098E+00,1.18289E+00,3.30371E-01
994,2.28032E+01,6.55861E+00,2.20896E+00,1.18180E+00,3.30085E-01
995,2.27819E+01,6.55250E+00,2.20695E+00,1.18071E+00,3.29798E-01
996,2.27605E+01,6.54641E+00,2.20494E+00,1.17962E+00,3.29513E-01
997,2.27392E+01,6.54033E+00,2.20294E+00,1.17853E+00,3.29228E-01
998,2.27180E+01,6.53426E+00,2.20093E+00,1.17745E+00,3.28943E-01
999,2.26968E+01,6.52820E+00,2.19894E+00,1.17637E+00,3.28659E-01
1000,2.26756E+01,6.52215E+00,2.19694E+00,1.17529E+00,3.28375E-01
1001,2.26545E+01,6.51612E+00,2.19495E+00,1.17421E+00,3.28092E-01
1002,2.26334E+01,6.51010E+00,2.19296E+00,1.17313E+00,3.27810E-01
1003,2.26123E+01,6.50409E+00,2.19098E+00,1.17206E+00,3.27528E-01
1004,2.25913E+01,6.49809E+00,2.18900E+00,1.17098E+00,3.27246E-01
1005,2.25703E+01,6.49211E+00,2.18702E+00,1.16991E+00,3.26966E-01
1006,2.25494E+01,6.48613E+00,2.18505E+00,1.16885E+00,3.26685E-01
1007,2.25285E+01,6.48017E+00,2.18308E+00,1.16778E+00,3.26405E-01
1008,2.25077E+01,6.47422E+00,2.18112E+00,1.16671E+00,3.26126E-01
1009,2.24869E+01,6.46828E+00,2.17915E+00,1.16565E+00,3.25847E-01
1010,2.24661E+01,6.46235E+00,2.17720E+00,1.16459E+00,3.25569E-01
1011,2.24453E+01,6.45644E+00,2.17524E+00,1.16353E+00,3.25291E-01
1012,2.24246E+01,6.45053E+00,2.17329E+00,1.16248E+00,3.25013E-01
1013,2.24040E+01,6.44464E+00,2.17134E+00,1.16142E+00,3.24737E-01
1014,2.23834E+01,6.43876E+00,2.16940E+00,1.16037E+00,3.24460E-01
1015,2.23628E+01,6.43289E+00,2.16746E+00,1.15932E+00,3.24185E-01
1016,2.23423E+01,6.42703E+00,2.16552E+00,1.15827E+00,3.23909E-01
1017,2.23218E+01,6.42119E+00,2.16358E+00,1.15722E+00,3.23634E-01
1018,2.23013E+01,6.41535E+00,2.16165E+00,1.15618E+00,3.23360E-01
1019,2.22809E+01,6.40953E+00,2.15973E+00,1.15513E+00,3.23086E-01
1020,2.22605E+01,6.40372E+00,2.15780E+00,1.15409E+00,3.22813E-01
1021,2.22401E+01,6.39792E+00,2.15588E+00,1.15305E+00,3.22540E-01
1022,2.22198E+01,6.39213E+00,2.15397E+00,1.15202E+00,3.22268E-01
1023,2.21996E+01,6.38635E+00,2.15205E+00,1.15098E+00,3.21996E-01
1024,2.21793E+01,6.38058E+00,2.15014E+00,1.14995E+00,3.21725E-01
1025,2.21591E+01,6.37482E+00,2.14824E+00,1.14891E+00,3.21454E-01
1026,2.21390E+01,6.36908E+00,2.14634E+00,1.14788E+00,3.21184E-01
1027,2.21189E+01,6.36335E+00,2.14444E+00,1.14686E+00,3.20914E-01
1028,2.20988E+01,6.35762E+00,2.14254E+00,1.14583E+00,3.20644E-01
1029,2.20787E+01,6.35191E+00,2.14065E+00,1.14481E+00,3.20375E-01
1030,2.20587E+01,6.34621E+00,2.13876E+00,1.14378E+00,3.20107E-01
1031,2.20387E+01,6.34052E+00,2.13687E+00,1.14276E+00,3.19839E-01
1032,2.20188E+01,6.33484E+00,2.13499E+00,1.14174E+00,3.19572E-01
1033,2.19989E+01,6.32917E+00,2.13311E+00,1.14073E+00,3.19305E-01
1034,2.19791E+01,6.32352E+00,2.13123E+00,1.13971E+00,3.19038E-01
1035,2.19592E+01,6.31787E+00,2.12936E+00,1.13870E+00,3.18772E-01
1036,2.19394E+01,6.31223E+00,2.12749E+00,1.13769E+00,3.18506E-01
1037,2.19197E+01,6.30661E+00,2.12563E+00,1.13668E+00,3.18241E-01
1038,2.19000E+01,6.30100E+00,2.12376E+00,1.13567E+00,3.17977E-01
1039,2.18803E+01,6.29539E+00,2.12190E+00,1.13466E+00,3.17713E-01
1040,2.18607E+01,6.28980E+00,2.12005E+00,1.13366E+00,3.17449E-01
1041,2.18411E+01,6.28422E+00,2.11819E+00,1.13266E+00,3.17186E-01
1042,2.18215E+01,6.27865E+00,2.11634E+00,1.13166E+00,3.16923E-01
1043,2.18020E+01,6.27309E+00,2.11450E+00,1.13066E+00,3.16661E-01
1044,2.17825E+01,6.26754E+00,2.11265E+00,1.12966E+00,3.16399E-01
1045,2.17630E+01,6.26200E+00,2.11081E+00,1.12867E+00,3.16137E-01
1046,2.17436E+01,6.25647E+00,2.10898E+00,1.12767E+00,3.15877E-01
1047,2.17242E+01,6.25095E+00,2.10714E+00,1.12668E+00,3.15616E-01
1048,2.17048E+01,6.24544E+00,2.10531E+00,1.12569E+00,3.15356E-01
1049,2.16855E+01,6.23994E+00,2.10348E+00,1.12470E+00,3.15096E-01
1050,2.16662E+01,6.23446E+00,2.10166E+00,1.12372E+00,3.14837E-01
1051,2.16470E+01,6.22898E+00,2.09984E+00,1.12273E+00,3.14579E-01
1052,2.16278E+01,6.22351E+00,2.09802E+00,1.12175E+00,3.14321E-01
1053,2.16086E+01,6.21806E+00,2.09621E+00,1.12077E+00,3.14063E-01
1054,2.15894E+01,6.21261E+00,2.09439E+00,1.11979E+00,3.13806E-01
1055,2.15703E+01,6.20718E+00,2.09259E+00,1.11881E+00,3.13549E-01
1056,2.15513E+01,6.20175E+00,2.09078E+00,1.11783E+00,3.13292E-01
1057,2.15322E+01,6.19634E+00,2.08898E+00,1.11686E+00,3.13036E-01
1058,2.15132E+01,6.19093E+00,2.08718E+00,1.11589E+00,3.12781E-01
1059,2.14942E+01,6.18554E+00,2.08538E+00,1.11492E+00,3.12526E-01
1060,2.14753E+01,6.18015E+00,2.08359E+00,1.11395E+00,3.12271E-01
1061,2.14564E+01,6.17478E+00,2.08180E+00,1.11298E+00,3.12017E-01
1062,2.14375E+01,6.16941E+00,2.08001E+00,1.11201E+00,3.11763E-01
1063,2.14187E+01,6.16406E+00,2.07823E+00,1.11105E+00,3.11510E-01
1064,2.13999E+01,6.15871E+00,2.07645E+00,1.11009E+00,3.11257E-01
1065,2.13811E+01,6.15338E+00,2.07467E+00,1.10913E+00,3.11004E-01
1066,2.13624E+01,6.14805E+00,2.07290E+00,1.10817E+00,3.10752E-01
1067,2.13437E+01,6.14274E+00,2.07112E+00,1.10721E+00,3.10501E-01
1068,2.13250E+01,6.13743E+00,2.06935E+00,1.10626E+00,3.10250E-01
1069,2.13064E+01,6.13214E+00,2.06759E+00,1.10530E+00,3.09999E-01
1070,2.12878E+01,6.12685E+00,2.06583E+00,1.10435E+00,3.09749E-01
1071,2.12693E+01,6.12158E+00,2.06407E+00,1.10340E+00,3.09499E-01
1072,2.12507E+01,6.11631E+00,2.06231E+00,1.10245E+00,3.09249E-01
1073,2.12322E+01,6.11106E+00,2.06056E+00,1.10150E+00,3.09000E-01
1074,2.12138E+01,6.10581E+00,2.05880E+00,1.10056E+00,3.08752E-01
1075,2.11953E+01,6.10057E+00,2.05706E+00,1.09961E+00,3.08503E-01
1076,2.11769E+01,6.09535E+00,2.05531E+00,1.09867E+00,3.08256E-01
1077,2.11586E+01,6.09013E+00,2.05357E+00,1.09773E+00,3.08008E-01
1078,2.11402E+01,6.08492E+00,2.05183E+00,1.09679E+00,3.07761E-01
1079,2.11219E+01,6.07972E+00,2.05009E+00,1.09585E+00,3.07515E-01
1080,2.11037E+01,6.07454E+00,2.04836E+00,1.09492E+00,3.07269E-01
1081,2.10854E+01,6.06936E+00,2.04663E+00,1.09398E+00,3.07023E-01
1082,2.10672E+01,6.06419E+00,2.04490E+00,1.09305E+00,3.06778E-01
1083,2.10491E+01,6.05903E+00,2.04318E+00,1.09212E+00,3.06533E-01
1084,2.10309E+01,6.05388E+00,2.04146E+00,1.09119E+00,3.06288E-01
1085,2.10128E+01,6.04874E+00,2.03974E+00,1.09026E+00,3.06044E-01
1086,2.09948E+01,6.04361E+00,2.03802E+00,1.08934E+00,3.05801E-01
1087,2.09767E+01,6.03848E+00,2.03631E+00,1.08841E+00,3.05557E-01
1088,2.09587E+01,6.03337E+00,2.03460E+00,1.08749E+00,3.05314E-01
1089,2.09407E+01,6.02827E+00,2.03289E+00,1.08657E+00,3.05072E-01
1090,2.09228E+01,6.02317E+00,2.03119E+00,1.08565E+00,3.04830E-01
1091,2.09049E+01,6.01809E+00,2.02948E+00,1.08473E+00,3.04588E-01
1092,2.08870E+01,6.01301E+00,2.02779E+00,1.08381E+00,3.04347E-01
1093,2.08691E+01,6.00795E+00,2.02609E+00,1.08290E+00,3.04106E-01
1094,2.08513E+01,6.00289E+00,2.02440E+00,1.08198E+00,3.03866E-01
1095,2.08335E+01,5.99784E+00,2.02271E+00,1.08107E+00,3.03626E-01
1096,2.08158E+01,5.99280E+00,2.02102E+00,1.08016E+00,3.03386E-01
1097,2.07981E+01,5.98777E+00,2.01933E+00,1.07925E+00,3.03147E-01
1098,2.07804E+01,5.98275E+00,2.01765E+00,1.07834E+00,3.02908E-01
1099,2.07627E+01,5.97774E+00,2.01597E+00,1.07744E+00,3.02670E-01
1100,2.07451E+01,5.97274E+00,2.01429E+00,1.07653E+00,3.02432E-01
1101,2.07275E+01,5.96774E+00,2.01262E+00,1.07563E+00,3.02194E-01
1102,2.07099E+01,5.96276E+00,2.01095E+00,1.07473E+00,3.01957E-01
