Inverted,Yield,Error,Inverted
115Pd,0.000375,0.000169,115Pd
116Pd,0.000388,0.000175,116Pd
117Pd,0.000348,0.000223,117Pd
118Pd,0.00033999999999999997,0.000218,118Pd
119Pd,0.000195,0.000125,119Pd
120Pd,8.53e-05,5.4600000000000006e-05,120Pd
121Pd,2.0300000000000002e-05,1.3000000000000001e-05,121Pd
122Pd,4.17e-06,2.67e-06,122Pd
123Pd,5.36e-07,3.43e-07,123Pd
124Pd,4.26e-08,2.73e-08,124Pd
125Pd,2.07e-09,1.32e-09,125Pd
126Pd,0.0,0.0,126Pd
127Pd,6.7e-19,4.2899999999999994e-19,127Pd
128Pd,0.0,0.0,128Pd
129Pd,0.0,0.0,129Pd
130Pd,0.0,0.0,130Pd
131Pd,0.0,0.0,131Pd
103Ag,0.0,0.0,103Ag
105Ag,0.0,0.0,105Ag
105mAg,0.0,0.0,105mAg
106Ag,0.0,0.0,106Ag
106mAg,0.0,0.0,106mAg
107Ag,0.014458799999999999,0.0011567,107Ag
107mAg,0.0,0.0,107mAg
108Ag,0.0,0.0,108Ag
108mAg,0.0,0.0,108mAg
109Ag,0.00252142,0.00161371,109Ag
109mAg,0.00252021,0.00161293,109mAg
110Ag,0.0,0.0,110Ag
110mAg,0.0,0.0,110mAg
111Ag,0.0007099999999999999,1.42e-05,111Ag
111mAg,0.0007070000000000001,5.660000000000001e-05,111mAg
112Ag,0.000559,2.24e-05,112Ag
113Ag,0.00041500000000000006,9.549999999999999e-05,113Ag
113mAg,4.61e-05,2.07e-05,113mAg
114Ag,0.000393,0.000126,114Ag
115Ag,0.00027400000000000005,8.77e-05,115Ag
115mAg,0.000102,4.57e-05,115mAg
116Ag,0.000197,8.85e-05,116Ag
116mAg,0.000197,8.85e-05,116mAg
117Ag,0.00018899999999999999,0.000121,117Ag
117mAg,0.00018899999999999999,0.000121,117mAg
118Ag,0.00031299999999999996,0.0002,118Ag
118mAg,0.00021400000000000002,0.00013700000000000002,118mAg
119Ag,0.000379,0.00016999999999999999,119Ag
120Ag,0.00023999999999999998,0.000154,120Ag
120mAg,0.000113,7.23e-05,120mAg
121Ag,0.0002,0.000128,121Ag
122Ag,5.489999999999999e-05,3.52e-05,122Ag
122mAg,5.08e-05,3.2500000000000004e-05,122mAg
123Ag,4.35e-05,2.7899999999999997e-05,123Ag
124Ag,1.0300000000000001e-05,6.58e-06,124Ag
125Ag,1.75e-06,1.12e-06,125Ag
126Ag,9.44e-11,6.04e-11,126Ag
127Ag,1.19e-11,7.62e-12,127Ag
128Ag,7.099999999999999e-13,4.54e-13,128Ag
129Ag,2.12e-14,1.35e-14,129Ag
130Ag,0.0,0.0,130Ag
131Ag,1.29e-16,8.27e-17,131Ag
132Ag,6.86e-11,4.39e-11,132Ag
133Ag,3.4500000000000004e-12,2.21e-12,133Ag
105Cd,0.0,0.0,105Cd
106Cd,0.0,0.0,106Cd
107Cd,0.0,0.0,107Cd
108Cd,0.0,0.0,108Cd
109Cd,0.0,0.0,109Cd
110Cd,0.0,0.0,110Cd
111Cd,0.000712,1.42e-05,111Cd
111mCd,0.0,0.0,111mCd
112Cd,0.000559,2.24e-05,112Cd
113Cd,0.00045599999999999997,5.01e-05,113Cd
113mCd,5.39e-06,8.620000000000001e-07,113mCd
114Cd,0.000393,6.28e-05,114Cd
115Cd,0.000344,6.89e-06,115Cd
115mCd,3.11e-05,1.87e-06,115mCd
116Cd,0.000393,4.3200000000000007e-05,116Cd
117Cd,0.000283,0.000127,117Cd
117mCd,9.449999999999999e-05,4.2499999999999996e-05,117mCd
118Cd,0.00043200000000000004,9.93e-05,118Cd
119Cd,0.000199,8.94e-05,119Cd
119mCd,0.000199,8.94e-05,119mCd
120Cd,0.000386,0.000174,120Cd
121Cd,0.00028,0.00017900000000000001,121Cd
121mCd,8.04e-05,5.15e-05,121mCd
122Cd,0.00037200000000000004,0.000167,122Cd
123Cd,0.000324,0.000207,123Cd
124Cd,0.00022,0.00014099999999999998,124Cd
125Cd,9.95e-05,6.37e-05,125Cd
126Cd,8.13e-06,5.2e-06,126Cd
127Cd,4.12e-06,2.64e-06,127Cd
128Cd,1.28e-06,8.19e-07,128Cd
129Cd,4.78e-07,3.06e-07,129Cd
130Cd,5.57e-08,3.56e-08,130Cd
131Cd,2.92e-09,1.87e-09,131Cd
132Cd,1.82e-06,1.16e-06,132Cd
133Cd,8.46e-08,5.41e-08,133Cd
134Cd,9.37e-10,6e-10,134Cd
135Cd,8.890000000000001e-12,5.690000000000001e-12,135Cd
136Cd,3.37e-14,2.16e-14,136Cd
107In,0.0,0.0,107In
109In,0.0,0.0,109In
111In,0.0,0.0,111In
112In,0.0,0.0,112In
112mIn,0.0,0.0,112mIn
113In,0.00046100000000000004,5.07e-05,113In
113mIn,0.0,0.0,113mIn
114In,0.0,0.0,114In
114mIn,0.0,0.0,114mIn
115In,0.000363,7.25e-06,115In
115mIn,0.000344,6.89e-06,115mIn
116In,4.77e-13,3.05e-13,116In
116mIn,9.53e-13,6.1e-13,116mIn
116nIn,4.77e-13,3.05e-13,116nIn
117In,0.000239,7.65e-05,117In
117mIn,0.000261,8.36e-05,117mIn
118In,0.00043200000000000004,9.93e-05,118In
118mIn,5.94e-10,3.8e-10,118mIn
118nIn,2.99e-10,1.9099999999999999e-10,118nIn
119In,0.00020899999999999998,9.379999999999999e-05,119In
119mIn,0.000199,8.94e-05,119mIn
120In,0.000194,8.71e-05,120In
120mIn,0.000194,8.71e-05,120mIn
120nIn,0.0,0.0,120nIn
121In,9.1e-05,5.8200000000000005e-05,121In
121mIn,0.00028199999999999997,0.00018,121mIn
122In,0.000391,9e-05,122In
122mIn,1.91e-05,1.22e-05,122mIn
122nIn,0.0,0.0,122nIn
123In,0.000346,0.00022200000000000003,123In
123mIn,9.44e-05,6.04e-05,123mIn
124In,0.00032900000000000003,0.00021,124In
124mIn,0.000109,6.979999999999999e-05,124mIn
125In,0.00021600000000000002,0.000138,125In
125mIn,0.000176,0.000113,125mIn
126In,0.000184,0.000118,126In
126mIn,0.000192,0.000123,126mIn
127In,0.000346,0.00022200000000000003,127In
127mIn,0.000346,0.00022200000000000003,127mIn
128In,0.000393,0.000251,128In
128mIn,0.000392,0.000251,128mIn
129In,0.000675,0.00043200000000000004,129In
129mIn,0.000674,0.00043099999999999996,129mIn
130In,0.0007509999999999999,0.00047999999999999996,130In
130mIn,0.0,0.0,130mIn
130nIn,0.0,0.0,130nIn
131In,0.000268,0.000172,131In
131mIn,0.0,0.0,131mIn
132In,0.000647,0.000414,132In
133In,7.4e-05,4.73e-05,133In
134In,4.92e-06,3.15e-06,134In
135In,1.71e-07,1.0900000000000001e-07,135In
136In,2.7e-09,1.7300000000000002e-09,136In
137In,2.59e-11,1.6600000000000003e-11,137In
138In,8.329999999999999e-13,5.33e-13,138In
111Sn,0.0,0.0,111Sn
112Sn,0.0,0.0,112Sn
113Sn,0.0,0.0,113Sn
113mSn,0.0,0.0,113mSn
114Sn,0.0,0.0,114Sn
115Sn,0.000375,7.51e-06,115Sn
116Sn,1.43e-12,6.440000000000001e-13,116Sn
117Sn,0.000377,0.000241,117Sn
117mSn,7.65e-07,4.89e-07,117mSn
118Sn,0.00043200000000000004,4.7499999999999996e-05,118Sn
119Sn,0.000397,4.3700000000000005e-05,119Sn
119mSn,1.04e-05,4.69e-06,119mSn
120Sn,0.00038700000000000003,4.26e-05,120Sn
121Sn,0.000367,0.00023500000000000002,121Sn
121mSn,1.0300000000000001e-05,6.59e-06,121mSn
122Sn,0.000411,4.52e-05,122Sn
123Sn,3.33e-06,2.13e-06,123Sn
123mSn,0.000442,0.00014099999999999998,123mSn
124Sn,0.00046399999999999995,5.11e-05,124Sn
125Sn,0.000264,1.58e-05,125Sn
125mSn,0.00022,7.03e-05,125mSn
126Sn,0.000541,4.33e-05,126Sn
127Sn,0.0010142,0.00045599999999999997,127Sn
127mSn,0.000346,0.00022200000000000003,127mSn
128Sn,0.00283945,0.00181725,128Sn
128mSn,0.00101794,0.000651,128mSn
129Sn,0.00757995,0.00242558,129Sn
129mSn,0.00220944,0.00141404,129mSn
130Sn,0.00876332,0.00560853,130Sn
130mSn,0.00845089,0.00540857,130mSn
131Sn,0.0117184,0.00749978,131Sn
131mSn,0.0114469,0.00732599,131mSn
132Sn,0.019462200000000002,0.004476300000000001,132Sn
133Sn,0.00680007,0.00306003,133Sn
134Sn,0.00182596,0.00116862,134Sn
135Sn,0.00018999999999999998,0.000122,135Sn
136Sn,1.42e-05,9.08e-06,136Sn
137Sn,6.33e-07,4.05e-07,137Sn
138Sn,2.21e-08,1.4099999999999999e-08,138Sn
139Sn,1.6299999999999998e-10,1.0399999999999999e-10,139Sn
140Sn,8.69e-12,5.56e-12,140Sn
141Sn,2.59e-12,1.66e-12,141Sn
113Sb,0.0,0.0,113Sb
115Sb,0.0,0.0,115Sb
117Sb,0.0,0.0,117Sb
118Sb,0.0,0.0,118Sb
118mSb,0.0,0.0,118mSb
119Sb,0.0,0.0,119Sb
120Sb,1.66e-14,1.06e-14,120Sb
120mSb,2.83e-14,1.81e-14,120mSb
121Sb,0.00036899999999999997,2.95e-05,121Sb
122Sb,2.4e-10,1.54e-10,122Sb
122mSb,1.37e-10,8.77e-11,122mSb
123Sb,0.00044500000000000003,7.13e-05,123Sb
124Sb,1.34e-07,8.58e-08,124Sb
124mSb,6.68e-08,4.28e-08,124mSb
124nSb,0.0,0.0,124nSb
125Sb,0.00048499999999999997,3.8799999999999994e-05,125Sb
126Sb,7.58e-05,6.06e-06,126Sb
126mSb,0.000541,4.33e-05,126mSb
126nSb,0.000362,0.00023199999999999997,126nSb
127Sb,0.00136247,8.170000000000001e-05,127Sb
128Sb,0.00011200000000000001,7.15e-05,128Sb
128mSb,0.00285188,0.0018252,128mSb
129Sb,0.0101134,0.00161815,129Sb
130Sb,0.00925811,0.00592519,130Sb
130mSb,0.00987801,0.00632193,130mSb
131Sb,0.032539799999999994,0.00130159,131Sb
132Sb,0.024095099999999998,0.00385522,132Sb
132mSb,0.022469,0.00359504,132mSb
133Sb,0.0380828,0.00304663,133Sb
134Sb,0.014297,0.00915009,134Sb
134mSb,0.012805200000000003,0.00819533,134mSb
135Sb,0.0103948,0.0023908,135Sb
136Sb,0.00240042,0.00153627,136Sb
137Sb,0.000384,0.000246,137Sb
138Sb,4.0600000000000004e-05,2.6000000000000002e-05,138Sb
139Sb,3.14e-06,2.01e-06,139Sb
140Sb,1.54e-07,9.880000000000001e-08,140Sb
141Sb,4.98e-08,3.19e-08,141Sb
142Sb,3.4900000000000004e-11,2.2399999999999998e-11,142Sb
143Sb,3.4900000000000003e-12,2.24e-12,143Sb
115Te,0.0,0.0,115Te
117Te,0.0,0.0,117Te
118Te,0.0,0.0,118Te
119Te,0.0,0.0,119Te
120Te,0.0,0.0,120Te
121Te,0.0,0.0,121Te
121mTe,0.0,0.0,121mTe
122Te,2.33e-10,1.49e-10,122Te
123Te,7.009999999999999e-13,4.49e-13,123Te
123mTe,5.54e-13,3.5499999999999995e-13,123mTe
124Te,1.34e-07,8.58e-08,124Te
125Te,0.00048499999999999997,2.9100000000000003e-05,125Te
125mTe,0.000109,8.73e-06,125mTe
126Te,0.000541,3.2500000000000004e-05,126Te
127Te,0.00135724,8.14e-05,127Te
127mTe,0.000218,1.31e-05,127mTe
128Te,0.00286088,0.000172,128Te
129Te,0.00950234,0.00104526,129Te
129mTe,0.00167884,0.000185,129mTe
130Te,0.019136700000000003,0.0011482,130Te
131Te,0.030741200000000003,0.0008609999999999999,131Te
131mTe,0.00264262,0.00042300000000000004,131mTe
132Te,0.051276300000000004,0.000718,132Te
133Te,0.0347282,0.00798748,133Te
133mTe,0.0356056,0.00818929,133mTe
134Te,0.0684969,0.00191791,134Te
135Te,0.055439300000000004,0.012751,135Te
136Te,0.037029,0.00851668,136Te
137Te,0.0159923,0.00367824,137Te
138Te,0.00554166,0.00249374,138Te
139Te,0.00121214,0.000776,139Te
140Te,0.00018600000000000002,0.00011899999999999999,140Te
141Te,5.539999999999999e-05,3.5499999999999996e-05,141Te
142Te,9.27e-07,5.93e-07,142Te
143Te,8.55e-08,5.47e-08,143Te
144Te,5.73e-11,3.67e-11,144Te
145Te,6.08e-12,3.8900000000000006e-12,145Te
146Te,4.3700000000000006e-13,2.7899999999999997e-13,146Te
121I,0.0,0.0,121I
123I,0.0,0.0,123I
125I,9.98e-14,6.39e-14,125I
126I,0.0,0.0,126I
127I,0.00136247,5.45e-05,127I
128I,0.0,0.0,128I
129I,0.0101134,0.0008089999999999999,129I
130I,4.06e-14,2.6e-14,130I
130mI,1.14e-14,7.3e-15,130mI
131I,0.0329082,0.00046100000000000004,131I
132I,0.051461900000000005,0.0329356,132I
132mI,9.940000000000002e-05,6.36e-05,132mI
133I,0.067594,0.0432601,133I
133mI,0.000944,0.000604,133mI
134I,0.0760049,0.00456029,134I
134mI,0.00318007,0.00203525,134mI
135I,0.0694072,0.0009720000000000001,135I
136I,0.049895300000000004,0.00548848,136I
136mI,0.0138785,0.00319205,136mI
137I,0.0512504,0.00410003,137I
138I,0.0364551,0.00838468,138I
139I,0.021671700000000002,0.0049845,139I
140I,0.00887966,0.00399585,140I
141I,0.00257039,0.00164505,141I
142I,0.00042,0.000269,142I
143I,7.48e-05,4.79e-05,143I
144I,1.02e-06,6.51e-07,144I
145I,1.1699999999999999e-07,7.49e-08,145I
146I,7.76e-09,4.96e-09,146I
147I,6.72e-12,4.3e-12,147I
148I,6.86e-13,4.3900000000000005e-13,148I
124Xe,0.0,0.0,124Xe
125Xe,0.0,0.0,125Xe
125mXe,0.0,0.0,125mXe
126Xe,0.0,0.0,126Xe
127Xe,0.0,0.0,127Xe
127mXe,0.0,0.0,127mXe
128Xe,0.0,0.0,128Xe
129Xe,0.0101134,0.0064726,129Xe
129mXe,0.0,0.0,129mXe
130Xe,4.24e-14,2.71e-14,130Xe
131Xe,0.0329082,0.00032900000000000003,131Xe
131mXe,0.00046100000000000004,6.45e-06,131mXe
132Xe,0.051475099999999996,0.000721,132Xe
133Xe,0.06761039999999999,0.0432706,133Xe
133mXe,0.00195892,0.00125371,133mXe
134Xe,0.07609450000000001,0.00213065,134Xe
134mXe,8.26e-05,5.2900000000000005e-05,134mXe
135Xe,0.06967580000000001,0.000697,135Xe
135mXe,0.01036,0.00029,135mXe
136Xe,0.0697892,0.00139578,136Xe
137Xe,0.0604133,0.00120827,137Xe
138Xe,0.057019600000000004,0.00159655,138Xe
139Xe,0.0532009,0.00319206,139Xe
140Xe,0.048978100000000004,0.00293868,140Xe
141Xe,0.031908099999999995,0.00191449,141Xe
142Xe,0.015635399999999997,0.00359615,142Xe
143Xe,0.00223205,0.00142851,143Xe
143mXe,0.00215725,0.00138064,143mXe
144Xe,0.00122654,0.000135,144Xe
145Xe,0.00013000000000000002,8.329999999999999e-05,145Xe
146Xe,9.35e-06,5.98e-06,146Xe
147Xe,1.65e-07,1.05e-07,147Xe
148Xe,1.82e-08,1.16e-08,148Xe
149Xe,2.2100000000000003e-11,1.41e-11,149Xe
150Xe,2.8900000000000004e-12,1.85e-12,150Xe
151Xe,4.51e-13,2.89e-13,151Xe
127Cs,0.0,0.0,127Cs
129Cs,0.0,0.0,129Cs
131Cs,0.0,0.0,131Cs
132Cs,2.85e-13,1.8199999999999998e-13,132Cs
133Cs,0.06761030000000001,0.000338,133Cs
134Cs,6.459999999999999e-09,4.13e-09,134Cs
134mCs,3.2299999999999994e-09,2.07e-09,134mCs
135Cs,0.0696762,0.04459280000000001,135Cs
135mCs,1.8600000000000002e-07,1.1900000000000001e-07,135mCs
136Cs,9.6e-06,6.14e-06,136Cs
136mCs,4.8e-06,3.07e-06,136mCs
137Cs,0.0605254,0.000605,137Cs
138Cs,0.0575475,0.00161133,138Cs
138mCs,0.000302,0.000193,138mCs
139Cs,0.056674,0.00453392,139Cs
140Cs,0.0578619,0.00115724,140Cs
141Cs,0.0510905,0.00561996,141Cs
142Cs,0.0385044,0.00616071,142Cs
143Cs,0.0282157,0.00648961,143Cs
144Cs,0.0185956,0.00427698,144Cs
145Cs,0.00568631,0.00363924,145Cs
146Cs,0.00118039,0.000755,146Cs
147Cs,0.000144,9.209999999999999e-05,147Cs
148Cs,2.46e-05,1.57e-05,148Cs
149Cs,4.25e-07,2.72e-07,149Cs
150Cs,4.8099999999999994e-08,3.08e-08,150Cs
151Cs,8.69e-09,5.560000000000001e-09,151Cs
152Cs,5.65e-12,3.6200000000000003e-12,152Cs
153Cs,3.04e-13,1.9399999999999998e-13,153Cs
129Ba,0.0,0.0,129Ba
131Ba,0.0,0.0,131Ba
132Ba,0.0,0.0,132Ba
133Ba,0.0,0.0,133Ba
134Ba,6.459999999999999e-09,4.13e-09,134Ba
135Ba,0.0696762,0.04459280000000001,135Ba
135mBa,1.13e-11,7.2300000000000005e-12,135mBa
136Ba,9.6e-06,6.14e-06,136Ba
136mBa,1.08e-06,6.890000000000001e-07,136mBa
137Ba,0.0605255,0.000424,137Ba
137mBa,0.057257100000000005,0.000573,137mBa
138Ba,0.0576249,0.000807,138Ba
139Ba,0.056701800000000004,0.00113404,139Ba
140Ba,0.058152300000000004,0.000407,140Ba
141Ba,0.053361,0.00320166,141Ba
142Ba,0.0458054,0.00183221,142Ba
143Ba,0.0457719,0.00274632,143Ba
144Ba,0.0433522,0.00476874,144Ba
145Ba,0.0308738,0.00710099,145Ba
146Ba,0.0208696,0.00480002,146Ba
147Ba,0.00844944,0.00380225,147Ba
148Ba,0.00251511,0.00160967,148Ba
149Ba,0.00047300000000000006,0.000303,149Ba
150Ba,5.44e-05,3.48e-05,150Ba
151Ba,9.66e-06,6.18e-06,151Ba
152Ba,1.5e-07,9.6e-08,152Ba
153Ba,7.43e-09,4.7499999999999995e-09,153Ba
154Ba,7.109999999999999e-11,4.5500000000000004e-11,154Ba
155Ba,3.96e-13,2.5300000000000003e-13,155Ba
156Ba,2.55e-14,1.63e-14,156Ba
133La,0.0,0.0,133La
135La,0.0,0.0,135La
137La,2.45e-12,1.57e-12,137La
138La,1.76e-10,1.13e-10,138La
139La,0.056701800000000004,0.000567,139La
140La,0.058152499999999996,0.000407,140La
141La,0.0533654,0.00213462,141La
142La,0.045857999999999996,0.000917,142La
143La,0.04622,0.00129416,143La
144La,0.0454654,0.00127303,144La
145La,0.0379626,0.00227776,145La
146La,0.0272267,0.0174251,146La
146mLa,0.00635709,0.00406854,146mLa
147La,0.0232588,0.0037213999999999997,147La
148La,0.013416599999999999,0.00603745,148La
149La,0.0071167,0.00320251,149La
150La,0.00218818,0.00140044,150La
151La,0.00044800000000000005,0.00028700000000000004,151La
152La,5.8299999999999994e-05,3.73e-05,152La
153La,6.5e-06,4.16e-06,153La
154La,2.8300000000000003e-07,1.8100000000000002e-07,154La
155La,7.62e-09,4.870000000000001e-09,155La
156La,4.52e-10,2.89e-10,156La
157La,8.95e-13,5.73e-13,157La
158La,1.88e-14,1.2e-14,158La
159La,1.02e-15,6.51e-16,159La
135Ce,0.0,0.0,135Ce
137Ce,0.0,0.0,137Ce
138Ce,5.289999999999999e-11,3.39e-11,138Ce
139Ce,1.3800000000000002e-13,8.83e-14,139Ce
139mCe,1.02e-13,6.53e-14,139mCe
140Ce,0.058152499999999996,0.000407,140Ce
141Ce,0.0533654,0.00149423,141Ce
142Ce,0.045857999999999996,0.000459,142Ce
143Ce,0.0462209,0.000647,143Ce
144Ce,0.0454797,0.000637,144Ce
145Ce,0.03809,0.00106652,145Ce
146Ce,0.0344544,0.000965,146Ce
147Ce,0.0259025,0.00155415,147Ce
148Ce,0.0209496,0.000587,148Ce
149Ce,0.015477600000000001,0.00247641,149Ce
150Ce,0.0107838,0.00248027,150Ce
151Ce,0.00500755,0.00320483,151Ce
152Ce,0.00190286,0.00121783,152Ce
153Ce,0.0005639999999999999,0.000361,153Ce
154Ce,8.03e-05,5.14e-05,154Ce
155Ce,8.47e-06,5.42e-06,155Ce
156Ce,5.45e-07,3.4899999999999996e-07,156Ce
157Ce,2.19e-08,1.4e-08,157Ce
158Ce,4.979999999999999e-10,3.19e-10,158Ce
159Ce,2.49e-11,1.59e-11,159Ce
160Ce,6.06e-14,3.88e-14,160Ce
161Ce,8.130000000000001e-16,5.2e-16,161Ce
139Pr,0.0,0.0,139Pr
140Pr,0.0,0.0,140Pr
141Pr,0.0533654,0.00106731,141Pr
142Pr,7.46e-13,4.77e-13,142Pr
142mPr,3.73e-13,2.39e-13,142mPr
143Pr,0.0462209,0.000462,143Pr
144Pr,0.0454796,0.000455,144Pr
144mPr,0.000227,3.18e-06,144mPr
145Pr,0.0380901,0.000533,145Pr
146Pr,0.0344565,0.000482,146Pr
147Pr,0.025927299999999997,0.000726,147Pr
148Pr,0.0210371,0.0134638,148Pr
148mPr,8.75e-05,5.6000000000000006e-05,148mPr
149Pr,0.0162479,0.00129983,149Pr
150Pr,0.012692,0.000254,150Pr
151Pr,0.00781513,0.000625,151Pr
152Pr,0.00476066,0.00109495,152Pr
153Pr,0.00300565,0.00135254,153Pr
154Pr,0.000962,0.000616,154Pr
155Pr,0.000305,0.000195,155Pr
156Pr,5.3e-05,3.39e-05,156Pr
157Pr,7.07e-06,4.52e-06,157Pr
158Pr,4.66e-07,2.98e-07,158Pr
159Pr,2.18e-08,1.4e-08,159Pr
160Pr,5.76e-10,3.69e-10,160Pr
161Pr,1.56e-11,1.0000000000000001e-11,161Pr
162Pr,1.67e-14,1.07e-14,162Pr
163Pr,6.37e-16,4.08e-16,163Pr
164Pr,1.46e-17,9.36e-18,164Pr
140Nd,0.0,0.0,140Nd
141Nd,0.0,0.0,141Nd
142Nd,7.46e-13,4.77e-13,142Nd
143Nd,0.0462209,0.000324,143Nd
144Nd,0.0454797,0.00031800000000000003,144Nd
145Nd,0.0380901,0.000267,145Nd
146Nd,0.0344565,0.000241,146Nd
147Nd,0.0259274,0.000363,147Nd
148Nd,0.021125,0.000148,148Nd
149Nd,0.0162529,0.00065,149Nd
150Nd,0.0127346,0.000127,150Nd
151Nd,0.00799354,0.00032,151Nd
152Nd,0.00529804,0.000212,152Nd
153Nd,0.00411929,0.00033,153Nd
154Nd,0.00208729,0.000167,154Nd
155Nd,0.00122673,0.000785,155Nd
156Nd,0.000522,0.000334,156Nd
157Nd,0.000168,0.00010700000000000001,157Nd
158Nd,3.39e-05,2.17e-05,158Nd
159Nd,4.39e-06,2.81e-06,159Nd
160Nd,3.7700000000000005e-07,2.41e-07,160Nd
161Nd,1.74e-08,1.1100000000000002e-08,161Nd
162Nd,4.4299999999999997e-10,2.84e-10,162Nd
163Nd,1.56e-11,9.979999999999999e-12,163Nd
164Nd,3.8799999999999996e-13,2.48e-13,164Nd
165Nd,1.84e-15,1.18e-15,165Nd
166Nd,8.17e-17,5.23e-17,166Nd
167Nd,6.16e-18,3.95e-18,167Nd
141Pm,0.0,0.0,141Pm
143Pm,0.0,0.0,143Pm
144Pm,0.0,0.0,144Pm
145Pm,0.0,0.0,145Pm
146Pm,0.0,0.0,146Pm
147Pm,0.0259274,0.000259,147Pm
148Pm,6.889999999999999e-12,4.410000000000001e-12,148Pm
148mPm,1.6600000000000003e-11,1.06e-11,148mPm
149Pm,0.0162529,0.000325,149Pm
150Pm,3.2900000000000003e-08,2.11e-08,150Pm
151Pm,0.00799402,0.00016,151Pm
152Pm,0.00529946,0.000106,152Pm
152mPm,1.42e-06,9.090000000000001e-07,152mPm
152nPm,1.42e-06,9.090000000000001e-07,152nPm
153Pm,0.00414785,0.000166,153Pm
154Pm,0.00212483,5.9499999999999996e-05,154Pm
154mPm,3.75e-05,2.4e-05,154mPm
155Pm,0.00141203,0.0006349999999999999,155Pm
156Pm,0.0007480000000000001,5.99e-05,156Pm
157Pm,0.000384,0.000246,157Pm
158Pm,0.00014199999999999998,9.059999999999999e-05,158Pm
159Pm,4.54e-05,2.8999999999999997e-05,159Pm
160Pm,9.32e-06,5.96e-06,160Pm
161Pm,1.3e-06,8.32e-07,161Pm
162Pm,9.22e-08,5.9000000000000006e-08,162Pm
163Pm,1.06e-08,6.779999999999999e-09,163Pm
164Pm,7.580000000000001e-10,4.85e-10,164Pm
165Pm,3.5399999999999995e-11,2.27e-11,165Pm
166Pm,1.45e-12,9.290000000000002e-13,166Pm
167Pm,1.1900000000000002e-13,7.6e-14,167Pm
168Pm,2.4e-16,1.53e-16,168Pm
169Pm,1.1e-17,7.049999999999999e-18,169Pm
143Sm,0.0,0.0,143Sm
143mSm,0.0,0.0,143mSm
144Sm,0.0,0.0,144Sm
145Sm,0.0,0.0,145Sm
146Sm,0.0,0.0,146Sm
147Sm,0.0259274,0.000181,147Sm
148Sm,2.27e-11,1.02e-11,148Sm
149Sm,0.0162529,0.00016299999999999998,149Sm
150Sm,3.2900000000000003e-08,2.11e-08,150Sm
151Sm,0.00799402,0.00011200000000000001,151Sm
152Sm,0.0053023,5.3e-05,152Sm
153Sm,0.0041478999999999995,8.3e-05,153Sm
154Sm,0.00216282,2.1600000000000003e-05,154Sm
155Sm,0.00141516,0.000453,155Sm
156Sm,0.0007599999999999999,3.04e-05,156Sm
157Sm,0.000414,0.00018600000000000002,157Sm
158Sm,0.000184,8.28e-05,158Sm
159Sm,8.4e-05,3.78e-05,159Sm
160Sm,3.2200000000000003e-05,2.0600000000000003e-05,160Sm
161Sm,9.04e-06,5.79e-06,161Sm
162Sm,1.73e-06,1.11e-06,162Sm
163Sm,4.970000000000001e-07,3.18e-07,163Sm
164Sm,1.1e-07,7.04e-08,164Sm
165Sm,1.4499999999999999e-08,9.28e-09,165Sm
166Sm,1.75e-09,1.1199999999999999e-09,166Sm
167Sm,1.32e-10,8.449999999999999e-11,167Sm
168Sm,6.36e-12,4.07e-12,168Sm
169Sm,2.7e-13,1.73e-13,169Sm
170Sm,0.0,0.0,170Sm
171Sm,1.6e-17,1.02e-17,171Sm
172Sm,3.8e-18,2.4299999999999998e-18,172Sm
147Eu,0.0,0.0,147Eu
149Eu,0.0,0.0,149Eu
151Eu,0.00799402,7.99e-05,151Eu
152Eu,2.19e-14,1.4e-14,152Eu
152mEu,2.19e-14,1.4e-14,152mEu
152nEu,1.46e-14,9.340000000000001e-15,152nEu
153Eu,0.0041478999999999995,8.3e-05,153Eu
154Eu,8.25e-11,5.28e-11,154Eu
154mEu,4.13e-11,2.64e-11,154mEu
155Eu,0.00141516,0.000226,155Eu
156Eu,0.0007599999999999999,1.52e-05,156Eu
157Eu,0.000414,0.000132,157Eu
158Eu,0.000185,5.920000000000001e-05,158Eu
159Eu,8.62e-05,2.7600000000000003e-05,159Eu
160Eu,3.54e-05,1.59e-05,160Eu
161Eu,1.21e-05,1.33e-06,161Eu
162Eu,3.24e-06,2.07e-06,162Eu
163Eu,1.72e-06,1.1e-06,163Eu
164Eu,7.609999999999999e-07,4.870000000000001e-07,164Eu
165Eu,2.74e-07,1.75e-07,165Eu
166Eu,8.339999999999999e-08,5.34e-08,166Eu
167Eu,2.0299999999999996e-08,1.3e-08,167Eu
168Eu,2.7100000000000004e-09,1.7300000000000002e-09,168Eu
169Eu,2.36e-10,1.51e-10,169Eu
170Eu,1.16e-11,7.42e-12,170Eu
171Eu,3.07e-13,1.9699999999999997e-13,171Eu
172Eu,6.74e-14,4.32e-14,172Eu
147Gd,0.0,0.0,147Gd
149Gd,0.0,0.0,149Gd
151Gd,0.0,0.0,151Gd
152Gd,2.3e-14,1.47e-14,152Gd
153Gd,0.0,0.0,153Gd
154Gd,8.25e-11,5.28e-11,154Gd
155Gd,0.00141516,0.000156,155Gd
156Gd,0.0007599999999999999,1.52e-05,156Gd
157Gd,0.000414,6.620000000000001e-05,157Gd
158Gd,0.000185,2.9600000000000005e-05,158Gd
159Gd,8.62e-05,1.3800000000000002e-05,159Gd
